product_id,category_id
P0001,CAT01
P0002,CAT01
P0003,CAT01
P0004,CAT01
P0005,CAT01
P0006,CAT01
P0007,CAT01
P0008,CAT01
P0009,CAT01
P0010,CAT01
P0011,CAT01
P0012,CAT01
P0013,CAT01
P0014,CAT01
P0015,CAT01
P0016,CAT01
P0017,CAT01
P0018,CAT01
P0019,CAT01
P0020,CAT01
P0021,CAT01
P0022,CAT01
P0023,CAT01
P0024,CAT01
P0025,CAT01
P0026,CAT01
P0027,CAT01
P0028,CAT01
P0029,CAT01
P0030,CAT01
P0031,CAT01
P0032,CAT01
P0033,CAT01
P0034,CAT01
P0035,CAT01
P0036,CAT01
P0037,CAT01
P0038,CAT01
P0039,CAT01
P0040,CAT01
P0041,CAT01
P0042,CAT01
P0043,CAT01
P0044,CAT01
P0045,CAT01
P0046,CAT01
P0047,CAT01
P0048,CAT01
P0049,CAT01
P0050,CAT01
P0051,CAT01
P0052,CAT01
P0053,CAT01
P0054,CAT01
P0055,CAT01
P0056,CAT01
P0057,CAT01
P0058,CAT01
P0059,CAT01
P0060,CAT01
P0061,CAT01
P0062,CAT01
P0063,CAT01
P0064,CAT01
P0065,CAT01
P0066,CAT01
P0067,CAT01
P0068,CAT01
P0069,CAT01
P0070,CAT01
P0071,CAT01
P0072,CAT01
P0073,CAT01
P0074,CAT01
P0075,CAT01
P0076,CAT01
P0077,CAT01
P0078,CAT01
P0079,CAT01
P0080,CAT01
P0081,CAT01
P0082,CAT01
P0083,CAT01
P0084,CAT01
P0085,CAT01
P0086,CAT01
P0087,CAT01
P0088,CAT01
P0089,CAT01
P0090,CAT01
P0091,CAT01
P0092,CAT01
P0093,CAT01
P0094,CAT01
P0095,CAT01
P0096,CAT01
P0097,CAT01
P0098,CAT01
P0099,CAT01
P0100,CAT01
P0101,CAT01
P0102,CAT01
P0103,CAT01
P0104,CAT01
P0105,CAT01
P0106,CAT01
P0107,CAT01
P0108,CAT01
P0109,CAT01
P0110,CAT01
P0111,CAT01
P0112,CAT01
P0113,CAT01
P0114,CAT01
P0115,CAT01
P0116,CAT01
P0117,CAT01
P0118,CAT01
P0119,CAT01
P0120,CAT01
P0121,CAT01
P0122,CAT01
P0123,CAT01
P0124,CAT01
P0125,CAT01
P0126,CAT01
P0127,CAT01
P0128,CAT01
P0129,CAT01
P0130,CAT01
P0131,CAT01
P0132,CAT01
P0133,CAT01
P0134,CAT01
P0135,CAT03
P0136,CAT03
P0137,CAT03
P0138,CAT03
P0139,CAT03
P0140,CAT03
P0141,CAT03
P0142,CAT03
P0143,CAT03
P0144,CAT03
P0145,CAT03
P0146,CAT03
P0147,CAT03
P0148,CAT03
P0149,CAT03
P0150,CAT03
P0151,CAT03
P0152,CAT03
P0153,CAT03
P0154,CAT03
P0155,CAT03
P0156,CAT03
P0157,CAT03
P0158,CAT03
P0159,CAT03
P0160,CAT03
P0161,CAT03
P0162,CAT03
P0163,CAT03
P0164,CAT03
P0165,CAT03
P0166,CAT03
P0167,CAT03
P0168,CAT03
P0169,CAT03
P0170,CAT03
P0171,CAT03
P0172,CAT03
P0173,CAT03
P0174,CAT03
P0175,CAT03
P0176,CAT03
P0177,CAT03
P0178,CAT03
P0179,CAT03
P0180,CAT03
P0181,CAT03
P0182,CAT03
P0183,CAT03
P0184,CAT03
P0185,CAT03
P0186,CAT03
P0187,CAT03
P0188,CAT03
P0189,CAT03
P0190,CAT03
P0191,CAT03
P0192,CAT03
P0193,CAT03
P0194,CAT03
P0195,CAT03
P0196,CAT03
P0197,CAT03
P0198,CAT03
P0199,CAT03
P0200,CAT03
P0201,CAT03
P0202,CAT03
P0203,CAT03
P0204,CAT03
P0205,CAT03
P0206,CAT03
P0207,CAT03
P0208,CAT03
P0209,CAT03
P0210,CAT03
P0211,CAT03
P0212,CAT03
P0213,CAT03
P0214,CAT03
P0215,CAT03
P0216,CAT03
P0217,CAT03
P0218,CAT03
P0219,CAT03
P0220,CAT03
P0221,CAT03
P0222,CAT03
P0223,CAT03
